"category","airbnb-link","rule","description","fixable","recommended","airbnb-level","airbnb-value"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-self-assign"", ""no-self-assign"")","disallow assignments where both sides are exactly the same","","Error ⛔","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-self-compare"", ""no-self-compare"")","disallow comparisons where both sides are exactly the same","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-sequences"", ""no-sequences"")","disallow comma operators","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-throw-literal"", ""no-throw-literal"")","disallow throwing literals as exceptions","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-unmodified-loop-condition"", ""no-unmodified-loop-condition"")","disallow unmodified loop conditions","","Off 🙈","Off 🙈","off"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-unused-expressions"", ""no-unused-expressions"")","disallow unused expressions","","Off 🙈","Error ⛔","[""error"",{""allowShortCircuit"":false,""allowTernary"":false,""allowTaggedTemplates"":false}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-unused-labels"", ""no-unused-labels"")","disallow unused labels","🔧","Error ⛔","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-useless-call"", ""no-useless-call"")","disallow unnecessary calls to `.call()` and `.apply()`","","Off 🙈","Off 🙈","off"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-useless-concat"", ""no-useless-concat"")","disallow unnecessary concatenation of literals or template literals","","Off 🙈","Error ⛔","error"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#strings--eval"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/no-useless-escape"", ""no-useless-escape"")","disallow unnecessary escape characters","","Error ⛔","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-useless-return"", ""no-useless-return"")","disallow redundant return statements","🔧","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-void"", ""no-void"")","disallow `void` operators","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-warning-comments"", ""no-warning-comments"")","disallow specified warning terms in comments","","Off 🙈","Off 🙈","[""off"",{""terms"":[""todo"",""fixme"",""xxx""],""location"":""start""}]"
